"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4776388","","","","0"
"2015-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4802955","","","","0"
"2016-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4811465","","","","0"
"2016-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4832155","","","","0"
"2016-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4859250","","","","0"
"2016-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4884002","","","","0"
"2017-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4890848","","","","0"
"2017-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4905210","","","","0"
"2017-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4929384","","","","0"
"2017-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4956550","","","","0"
"2018-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4967421","","","","0"
"2018-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4983183","","","","0"
"2018-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5010476","","","","0"
"2018-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","5039661","","","","0"
"2019-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5046576","","","","0"


